"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","FDR_adjusted_P.value","Power","BCOV"
"ENSMUSG00000048806","Ifnb1",15.389,6.58,4.40927660797842e-210,7.45079561216193e-206,1,0.133
"ENSMUSG00000024008","Cpne5",-6.512,7.468,2.68228075770397e-204,2.26625901218408e-200,1,0.136
"ENSMUSG00000030278","Cidec",-6.763,6.929,1.55405143336438e-199,8.75345370699709e-196,1,0.139
"ENSMUSG00000010651","Acaa1b",-6.851,6.204,4.53787500051834e-179,1.91702529396897e-175,1,0.146
"ENSMUSG00000034459","Ifit1",7.815,6.821,3.63608276496699e-168,1.22885053124824e-164,1,0.136
"ENSMUSG00000019577","Pdk4",-5.899,5.904,4.89888246077319e-163,1.37968859703576e-159,1,0.138
"ENSMUSG00000020911","Krt19",-5.222,7.616,1.79694557122687e-160,4.33782660894165e-157,1,0.133
"ENSMUSG00000045932","Ifit2",6.683,7.556,1.34346571742673e-154,2.83773546163462e-151,1,0.134
"ENSMUSG00000020641","Rsad2",8.386,7.494,1.99120635310937e-153,3.73860055053802e-150,1,0.153
"ENSMUSG00000030605","Mfge8",6.267,9.998,3.93457873816399e-128,6.64865115174951e-125,1,0.146
"ENSMUSG00000022415","Syngr1",7.023,6.676,2.56063590909793e-127,3.9336023265397e-124,1,0.15
"ENSMUSG00000015852","Fcrls",7.599,5.704,4.03565605683729e-126,5.68287633736971e-123,1,0.15
"ENSMUSG00000072601","Ear1",-5.897,7.809,2.25962682643642e-124,2.93716723947097e-121,1,0.166
"ENSMUSG00000030786","Itgam",6.454,8.361,1.74526416135595e-120,2.10653384275663e-117,1,0.151
"ENSMUSG00000002985","Apoe",7.793,13.564,2.23365703693325e-118,2.51628910733987e-115,1,0.175
"ENSMUSG00000017009","Sdc4",5.482,7.415,6.54742633251381e-112,6.91490063542615e-109,1,0.139
"ENSMUSG00000020836","Coro6",-6.446,5.94,1.87352737689096e-110,1.86228621262962e-107,1,0.182
"ENSMUSG00000053398","Phgdh",-4.302,6.223,2.30192785332518e-110,2.16099871474938e-107,1,0.134
"ENSMUSG00000022126","Acod1",5.081,6.279,3.1161887218594e-108,2.77143984326211e-105,1,0.132
"ENSMUSG00000018930","Ccl4",6.154,9.745,5.39911627087206e-108,4.56171333725981e-105,1,0.157
"ENSMUSG00000032487","Ptgs2",6.149,8.563,8.25939407686193e-103,6.6460591005149e-100,1,0.159
"ENSMUSG00000000957","Mmp14",5.551,7.508,6.36594002355159e-101,4.88962065990794e-98,1,0.149
"ENSMUSG00000056529","Ptafr",5.32,7.247,1.10884026771796e-99,8.14660123647739e-97,1,0.145
"ENSMUSG00000061397","Krt79",-6.13,7.529,7.7705595924566e-99,5.47112149972215e-96,1,0.19
"ENSMUSG00000039013","Siglecf",-3.7,7.147,1.12070355418304e-97,7.57505946343397e-95,1,0.128
"ENSMUSG00000054422","Fabp1",-6.422,5.435,3.54896591867138e-95,2.30655484975804e-92,1,0.194
"ENSMUSG00000040552","C3ar1",6.939,7.158,1.74442577044661e-93,1.0917520988521e-90,1,0.178
"ENSMUSG00000035692","Isg15",5.135,6.792,1.02675629894048e-92,6.19647426410579e-90,1,0.146
"ENSMUSG00000026177","Slc11a1",5.871,7.796,2.8044798106168e-92,1.6341413737863e-89,1,0.162
"ENSMUSG00000040152","Thbs1",6.752,9.523,6.89266463271719e-92,3.88240823212184e-89,1,0.181
"ENSMUSG00000027398","Il1b",4.883,9.854,3.09988412445857e-91,1.68973683661616e-88,1,0.145
"ENSMUSG00000025854","Fam20c",6.888,7.3,1.85190387503859e-89,9.77920990012565e-87,1,0.182
"ENSMUSG00000042286","Stab1",5.503,7.99,3.87840169754417e-89,1.98597672379095e-86,1,0.158
"ENSMUSG00000056124","B4galt6",5.8,5.396,1.51989612288994e-86,7.55388373076299e-84,1,0.158
"ENSMUSG00000052336","Cx3cr1",6.247,5.487,6.39733042081147e-86,3.08863112716778e-83,1,0.167
"ENSMUSG00000024672","Ms4a7",4.822,7.095,8.73703364068501e-86,4.10106651278598e-83,1,0.146
"ENSMUSG00000039062","Anpep",4.052,8.575,3.94521005717109e-85,1.80178809583992e-82,1,0.13
"ENSMUSG00000024907","Gal",-6.29,4.464,5.77315332200646e-85,2.56723012724382e-82,1,0.196
"ENSMUSG00000036533","Cdc42ep3",-3.642,6.53,6.59921041079211e-85,2.85931942362987e-82,1,0.135
"ENSMUSG00000023951","Vegfa",4.556,7.698,7.55271112966771e-85,3.19064281672812e-82,1,0.143
"ENSMUSG00000052270","Fpr2",-4.091,5.982,9.06031298880842e-83,3.73417485085085e-80,1,0.15
"ENSMUSG00000044734","Serpinb1a",-4.695,6.353,4.51283833605965e-82,1.81566529054133e-79,1,0.169
"ENSMUSG00000036377","C530008M17Rik",-4.724,4.95,9.96300587017013e-82,3.91522960916593e-79,1,0.166
"ENSMUSG00000004952","Rasa4",4.405,7.282,3.5092359761884e-80,1.34770612558254e-77,1,0.141
